Промсвязьбанк;http://www.psbank.ru/;//table[@id='currency_table']/tr[2]/td[2]/div;32-32-69, 32-84-81;308800, г. Белгород, ул. Преображенская, 59
Пушкино;http://www.pushkino.ru/;none;35-38-67, 8-800-100-40-10;г. Белгород, бульвар Народный, 90
Райффайзенбанк;http://www.raiffeisen.ru/;//div[@id='toolbox_rates_1']/table/tr[3]/td[2];58-60-70;308007, г. Белгород, ул. Щорса, 26а
Ренессанс Кредит;http://www.rencredit.ru/;none;33-76-01, 33-85-02;308000, г.Белгород, пр. Славы, 44а
РОСБАНК;http://www.rosbank.ru/;//div[@id='rightcolumn']/div/div[4]/div/table/tbody/tr[1]/td[1];22-90-04, 22-90-06;308000, г. Белгород, пр-т Славы, 90
РОСГОССТРАХ БАНК;http://www.rgsbank.ru/;//div[@id='article']/div[1]/div[3]/table/tbody/tr[2]/td[2];75-31-36, 75-44-36;г. Белгород, ул. Щорса, 8б
РосЕвроБанк;http://www.rosevrobank.ru/corps/pokupka_prodazha_valuty_yur_litsami/kursy_banka_dlya_yur_lits/;//td[@id='contentCol']/div/div[3]/table/tbody/tr[3]/td[2]/p;35-51-22, 32-85-32;308000, Белгород, бульвар Свято-Троицкий, 17, оф. 413
Россельхозбанк;http://rshb.ru/filiali/7/currency-rates.php;//div[@id='content']/div[3]/div/div/table[2]/tr[2]/td[2];23-50-33, 23-50-23, 23-50-27;308015, г. Белгород, ул. Пушкина, 49
РУСНАРБАНК;http://www.bel.rusnarbank.com;//html/body/div/table[3]/tr/td[2]/table/tr/td[2]/div/table[2]/tr[3]/td[2];23-12-23;308015, г. Белгород, ул. Пушкина, 34а
Русский стандарт;http://www.rs.ru/;none;8-800-200-6-200;г. Белгород, ул. Преображенская, 74
Русфинанс Банк;http://www.rusfinancebank.ru/;none;27-04-79, 27-65-50, 27-86-13;308000, г.Белгород, пр-т Гражданский, 54
Сбербанк;http://sbrf.ru/belgorod/ru/;//div[@id='eggs']/table/tr[1]/td[4]/div/div/table[1]/tr[2]/td[3];30-68-10;308000, г. Белгород, пр-т Гражданский, 52
Северинвестбанк;http://www.belsib.ru/;none;58-28-08;г.Белгород, ул.Щорса, 51
СКБ-банк;http://www.skbbank.ru/;//td[@id='val_0'];32-00-54, 32–87–86.;г.Белгород, пр. Б.Хмельницкого, 77
ТРАНСКАПИТАЛБАНК;http://www.transcapital.com;//div[@id='currency']/div/div/div[2]/table/tbody/tr[1]/td[1];32-81-01;г. Белгород, пр-т Славы, 35
ТрансКредитБанк;http://www.tcb.ru/;none;33-30-88;г. Белгород, ул. Белгородского полка, 23
ТРАСТ;http://www.trust.ru/;none;27-65-11, 27-72-22;г. Белгород, ул. Первомайская, 13а
УРАЛСИБ;http://reg.bankuralsib.ru/rates.wbp?region=belgorod;//html/body/table/tr[1]/td[1]/table/tr[2]/td[3];32-23-68;г. Белгород, площадь Соборная, 1а
Уральский Банк Реконструкции и Развития;http://www.ubrr.ru/book/more/rko/v-inostrannoi-valute/;//html/body/div[3]/div/div[3]/div[2]/div/div[2]/table/tr[2]/td[2];20-79-01;г.Белгород, Гражданский проспект, д.4.
ФЕРРОБАНК;none;none;none;
ФОРУС банк;http://www.forusbank.ru/;none;31-29-59, 31-16-26;г. Белгород, ул. Попова, 76а
ХКФ Банк;http://www.homecredit.ru/;//html/body/div[2]/div/div[3]/table/tr/td[2]/div[7]/table/tr[2]/td/div[2]/table/tr[2]/td[2];32-53-45;г.Белгород, проспект Белгородский, 93а
Юниаструм Банк;http://www.uniastrum.ru/;//table[@id='currency_central']/tbody/tr/td[2];57-88-66, 57-85-20;г. Белгород, ул. Попова, 28
ЮниКредит Банк;http://unicreditbank.ru/rus/index.wbp;//div[@id='all']/div[4]/div[@class='col-right']/div[3]/div/div/div/div[3]/table/tbody/tr/td[@class='down'];58-60-48;308000, г. Белгород, пр-т Славы, 45а
